1	1	1538	#99CCFF	2
1	1539	1882	orange	1
1	1883	2621	green	1
1	2622	3139	#99CCFF	1
2	1	305	lime	2
2	306	678	yellowgreen	2
2	679	1264	cyan	2
2	1265	1539	green	1
2	1540	2174	olive	1
3	1	172	pink	1
3	173	620	purple	1
3	621	1370	teal	1
3	1371	1727	fuchsia	1
3	1728	2072	silver	1
4	1	478	purple	2
4	479	1449	orange	2
4	1450	1715	lime	1
4	1716	2438	green	2
5	1	1880	#FF6600	1
6	1	493	silver	2
6	494	936	pink	2
6	937	1710	teal	2
6	1711	1739	orange	2
6	1740	1843	pink	2
6	1844	2346	silver	2
7	1	1158	#FF6600	2
7	1159	1868	fuchsia	2
7	1869	2384	#FF6600	2
8	1	328	lime	2
8	329	925	red	2
8	926	1841	yellowgreen	1
8	1842	2189	red	2
9	1	778	pink	1
9	779	793	purple	1
9	794	991	fuchsia	1
9	992	1545	silver	1
10	1	362	orange	1
10	363	676	green	1
10	677	1277	olive	2
11	1	325	red	1
11	326	1043	cyan	1
11	1044	1332	red	1
12	1	385	lime	2
12	386	675	cyan	2
12	676	1166	yellowgreen	2
