1	1	1006	orange	2
1	1007	1370	pink	1
1	1371	1527	lime	1
1	1528	2097	cyan	1
1	2098	2489	lime	1
10	1	483	#99CCFF	2
10	484	687	red	2
10	688	918	olive	2
10	919	1151	#99CCFF	2
10	1152	1421	olive	2
11	1	227	lime	2
11	228	288	yellowgreen	2
11	289	377	lime	2
11	378	457	cyan	2
11	458	554	lime	2
11	555	1533	#FF6600	2
12	1	873	pink	2
12	874	1286	purple	2
13	1	672	silver	1
13	673	1001	fuchsia	1
13	1002	1164	silver	1
13	1165	1223	fuchsia	1
14	1	653	fuchsia	1
14	654	1285	silver	1
14	1286	1428	#FF6600	1
15	1	220	#99CCFF	1
15	221	680	yellowgreen	1
15	681	1150	olive	2
15	1151	1217	purple	2
15	1218	1744	teal	2
16	1	331	fuchsia	2
16	332	798	silver	2
16	799	881	fuchsia	2
16	882	1296	silver	2
17	1	328	fuchsia	2
17	329	726	silver	2
17	727	824	fuchsia	2
17	825	1252	silver	2
18	1	1260	red	2
19	1	1161	orange	1
2	1	413	purple	1
2	414	677	pink	1
2	678	1343	#FF6600	1
2	1344	1626	pink	1
2	1627	2197	green	1
3	1	388	teal	1
3	389	513	#FF6600	1
3	514	576	teal	1
3	577	631	purple	1
3	632	1121	olive	1
3	1122	2383	yellowgreen	2
4	1	457	red	1
4	458	1441	#FF6600	2
4	1442	1744	pink	2
4	1745	2274	green	2
5	1	518	yellowgreen	1
5	519	643	red	1
5	644	781	#99CCFF	1
5	782	1462	green	1
6	1	372	lime	2
6	373	822	cyan	2
6	823	906	purple	2
6	907	1062	cyan	2
6	1063	1103	lime	1
6	1104	1596	red	1
7	1	768	green	2
7	769	1392	#99CCFF	2
8	1	523	lime	1
8	524	1731	#FF6600	1
9	1	593	#99CCFF	1
9	594	1231	olive	1
