1	1	732	black	1
1	733	1217	teal	1
1	1218	1365	black	1
1	1366	2287	teal	1
1	2288	2708	black	1
10	1	2163	fuchsia	1
11	1	2139	pink	1
12	1	322	purple	1
12	323	1827	silver	1
12	1828	2123	silver	1
13	1	315	navy	1
13	316	1007	purple	1
13	1008	1965	silver	1
13	1966	2212	silver	1
2	1	2097	orange	1
2	1	2097	orange	1
2	2098	3074	blue	1
3	1	763	lime	1
3	764	1774	purple	1
3	1775	2344	navy	1
3	2345	3007	lime	1
4	1	2732	green	1
5	1	1933	cyan	1
6	1	2394	yellowgreen	1
7	1	1962	olive	1
8	1	2183	red	1
9	1	2729	yellow	1
