1	1	79	fuchsia	1
1	80	309	yellowgreen	1
1	310	486	olive	1
1	487	558	silver	1
1	559	775	cyan	1
1	776	1013	lime	1
1	1014	1089	fuchsia	1
1	1090	1384	yellowgreen	1
1	1385	1842	cyan	2
1	1843	2134	lime	2
1	2135	2449	silver	1
1	2450	2832	yellowgreen	4
1	2833	3084	#99CCFF	4
1	3085	3386	green	4
10	1	174	teal	3
10	175	466	orange	3
10	467	968	purple	3
10	969	1335	#99CCFF	3
11	1	452	#99CCFF	4
11	453	658	fuchsia	1
11	659	917	#99CCFF	2
11	918	1130	red	4
11	1131	1174	cyan	4
11	1175	1268	silver	4
11	1269	1566	green	4
12	1	77	olive	1
12	78	498	teal	1
12	499	658	olive	2
12	659	1043	yellowgreen	2
12	1044	1240	pink	2
13	1	143	olive	2
13	144	271	teal	2
14	1	136	olive	3
2	1	524	silver	3
2	525	1491	#99CCFF	1
2	1492	1714	red	3
2	1715	2053	fuchsia	3
2	2054	2150	silver	3
2	2151	2355	cyan	3
2	2356	2391	silver	3
2	2392	2675	lime	3
2	2676	2852	silver	3
2	2853	3086	cyan	3
2	3087	3160	lime	3
3	1	124	green	3
3	125	245	#FF6600	1
3	246	379	pink	3
3	380	757	red	3
3	758	1071	#FF6600	1
3	1072	1279	green	3
3	1280	1558	#99CCFF	2
3	1559	1738	yellowgreen	3
3	1739	2073	lime	3
3	2074	2092	olive	1
3	2093	2198	red	1
3	2199	2568	#FF6600	3
3	2569	2621	lime	1
3	2622	2769	#FF6600	3
3	2770	2845	olive	1
3	2846	3084	red	1
3	3085	3115	yellowgreen	1
3	3116	3175	olive	1
4	1	160	red	1
4	161	256	#FF6600	3
4	257	394	orange	3
4	395	556	purple	1
4	557	675	lime	1
4	676	857	pink	1
4	858	917	purple	1
4	918	1151	silver	4
4	1152	1221	cyan	4
4	1222	1335	lime	4
4	1336	1481	silver	4
4	1482	1588	cyan	4
4	1589	1646	silver	4
4	1647	1861	fuchsia	4
4	1862	2129	pink	4
4	2130	2402	yellowgreen	1
4	2403	2460	olive	1
5	1	399	green	2
5	400	491	orange	4
5	492	681	#FF6600	3
5	682	768	pink	2
5	769	1182	fuchsia	2
5	1183	1332	pink	2
5	1333	1465	lime	2
5	1466	1546	pink	2
5	1547	1633	purple	2
5	1634	1891	orange	4
5	1892	2005	#FF6600	4
5	2006	2201	red	2
6	1	650	#FF6600	1
6	651	1032	yellowgreen	2
6	1033	1688	#FF6600	4
6	1689	1807	lime	2
7	1	823	orange	1
7	824	948	lime	4
7	949	1110	olive	4
7	1111	1255	teal	4
7	1256	1568	#FF6600	2
7	1569	1643	teal	4
7	1644	1830	#FF6600	2
8	1	333	green	1
8	334	519	pink	1
8	520	875	#FF6600	4
8	876	1188	orange	3
8	1189	1737	silver	1
9	1	357	olive	4
9	358	651	red	4
9	652	840	#FF6600	2
9	841	1014	green	4
9	1015	1075	#FF6600	2
9	1076	1256	pink	4
9	1257	1407	#FF6600	2
9	1408	1555	green	4
